"18/05/17 01:01:30","dee_maga",,"RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:01:30","oobed",,"RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:01:46","SilvanaCorsetti","Illinois","RT @EntheosShines: Democrat #TulsiGabbard Confirms That Obama/Hillary/McCain/Kerry & Others Committed Treason By Arming ISIS & Al-Qaeda htt…"
"18/05/17 01:01:51","MaRainey357","Dumbfuckistan","RT @Integrallynne: I guess he forgot about ""crooked Hillary"", ""Lyon Ted"", ""low energy Jeb"", ""Little Marco"", ""BO is Muslim Kenyan who i… "
"18/05/17 01:01:55","101ARBNVET","Georgia, USA","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:01:56","MungoMouthpiece","Omnipresent","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:01:56","AuthorAIJacob","Texas, USA","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:02:03","stevetaly",,"RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:02:11","jjjr_james","Sarnia, Ontario","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:02:16","Sqhunt3",,"RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:03:03","SDrinsinger",,"RT @EntheosShines: Democrat #TulsiGabbard Confirms That Obama/Hillary/McCain/Kerry & Others Committed Treason By Arming ISIS & Al-Qaeda htt…"
"18/05/17 01:03:23","Fgarcia2849Jr","Miami, Florida","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:03:49","MaryKayGregory2","Florida, USA","@RealJamesWoods He sold his Soul to the Devil! Thats what is wrong with him. He helped arm isis with Hillary.😡😡😡"
"18/05/17 01:04:04","blanken01","florida","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:04:38","AmericasInPeril",,"RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:04:38","Pepeintolife","England, United Kingdom","RT @finnishvodka: #wednesdaywisdom #trumpslegacywillbe https://t.co/Ec1ZcXOWhI"
"18/05/17 01:04:41","RealTrishDish",,"RT @AlleyMb: @Rachael_Swindon https://t.co/JaGASLbTcm"
"18/05/17 01:04:53","DebD51","Mississippi, USA","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
